[INFO] Scanning for projects...
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:optimizer:jar:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 20, column 15
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:libnlopt4j:jnilib:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ org.nlopt4j:parent:1.0-SNAPSHOT, /Users/patrickli/git/nlopt4j/pom.xml, line 14, column 15
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-surefire-plugin is missing. @ line 65, column 15
[WARNING] 'build.plugins.plugin.version' for org.codehaus.mojo:native-maven-plugin is missing. @ line 28, column 15
[WARNING] 
[WARNING] Some problems were encountered while building the effective model for org.nlopt4j:parent:pom:1.0-SNAPSHOT
[WARNING] 'build.plugins.plugin.version' for org.apache.maven.plugins:maven-compiler-plugin is missing. @ line 14, column 15
[WARNING] 
[WARNING] It is highly recommended to fix these problems because they threaten the stability of your build.
[WARNING] 
[WARNING] For this reason, future Maven versions might no longer support building such malformed projects.
[WARNING] 
[INFO] ------------------------------------------------------------------------
[INFO] Reactor Build Order:
[INFO] 
[INFO] parent                                                             [pom]
[INFO] optimizer                                                          [jar]
[INFO] libnlopt4j                                                      [jnilib]
[INFO] 
[INFO] -------------------------< org.nlopt4j:parent >-------------------------
[INFO] Building parent 1.0-SNAPSHOT                                       [1/3]
[INFO] --------------------------------[ pom ]---------------------------------
[INFO] 
[INFO] -----------------------< org.nlopt4j:optimizer >------------------------
[INFO] Building optimizer 1.0-SNAPSHOT                                    [2/3]
[INFO] --------------------------------[ jar ]---------------------------------
[WARNING] The POM for Stock-analysis:Stock-analysis:jar:0.0.1-SNAPSHOT is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
[INFO] 
[INFO] --- maven-resources-plugin:2.6:resources (default-resources) @ optimizer ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-java/src/main/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:compile (default-compile) @ optimizer ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- maven-resources-plugin:2.6:testResources (default-testResources) @ optimizer ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-java/src/test/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.1:testCompile (default-testCompile) @ optimizer ---
[INFO] No sources to compile
[INFO] 
[INFO] --- maven-surefire-plugin:2.12.4:test (default-test) @ optimizer ---
[INFO] No tests to run.
[INFO] 
[INFO] -----------------------< org.nlopt4j:libnlopt4j >-----------------------
[INFO] Building libnlopt4j 1.0-SNAPSHOT                                   [3/3]
[INFO] -------------------------------[ jnilib ]-------------------------------
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:initialize (default-initialize) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:unzipinc (default-unzipinc) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:javah (default-javah) @ libnlopt4j ---
[INFO] /bin/sh -c cd '/Users/patrickli/git/nlopt4j/maven-macosx/target' && 'javah' '-o' '/Users/patrickli/git/nlopt4j/include/nlopt_jni.h' '-classpath' '/Users/patrickli/git/nlopt4j/maven-macosx/target/classes:/Users/patrickli/git/nlopt4j/maven-java/target/classes:/Users/patrickli/.m2/repository/junit/junit/4.11/junit-4.11.jar:/Users/patrickli/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar:/Users/patrickli/.m2/repository/Stock-analysis/Stock-analysis/0.0.1-SNAPSHOT/Stock-analysis-0.0.1-SNAPSHOT.jar:/Users/patrickli/.m2/repository/org/apache/commons/commons-lang3/3.9/commons-lang3-3.9.jar' 'org.nlopt4j.optimizer.NLopt'
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:compile (default-compile) @ libnlopt4j ---
[INFO] 
[INFO] --- native-maven-plugin:1.0-alpha-11:link (default-link) @ libnlopt4j ---
[INFO] /bin/sh -c cd '/Users/patrickli/git/nlopt4j/maven-macosx/target' && 'gcc' '-dynamiclib' '-framework' 'JavaVM' '/Users/patrickli/nlopt/lib/libnlopt.dylib' '-o' '/Users/patrickli/git/nlopt4j/maven-macosx/target/libnlopt4j.jnilib' 'objs/nlopt_jni.o'
[INFO] 
[INFO] --- maven-resources-plugin:3.1.0:testResources (default-testResources) @ libnlopt4j ---
[WARNING] Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
[INFO] skip non existing resourceDirectory /Users/patrickli/git/nlopt4j/maven-macosx/src/test/resources
[INFO] 
[INFO] --- maven-compiler-plugin:3.8.1:testCompile (default-testCompile) @ libnlopt4j ---
[INFO] Nothing to compile - all classes are up to date
[INFO] 
[INFO] --- maven-surefire-plugin:3.0.0-M4:test (default-test) @ libnlopt4j ---
[INFO] 
[INFO] -------------------------------------------------------
[INFO]  T E S T S
[INFO] -------------------------------------------------------
[INFO] Running org.nlopt4j.optimizer.TestAlgoPerformance_CRS2_LM
##########09:18:37 NLOPT_Start_Time
Run,RSIMagnitude,RSILowerThan,SMAMagnitude,VolumeHigherThan,ReentryRSIMagnitude,ReentryRSILowerThan,TakeProfit,StopLoss,StartExecute,EndExecute,NetProfit,AnnualIncrement,TotalTradedVolume
1,150,30.0,60,1.6,150,30.0,1.15,0.9,09:18:37,09:18:42,80605.00000000006,0.011970055361310017,679500.0
2,214,25.56,30,1.92,166,45.14,1.19,0.82,09:18:42,09:18:50,0.0,0.0,0.0
3,11,22.12,88,1.27,32,24.77,1.29,0.75,09:18:50,09:18:56,315054.4939710001,0.03654847509966652,1.66202504629E7
4,93,30.39,45,1.58,29,25.55,1.2,0.87,09:18:56,09:18:59,-119673.06556000002,-0.02512941335514063,2949185.2559999996
5,45,26.01,44,1.28,145,27.33,1.12,0.76,09:18:59,09:19:03,751.7772120001027,1.25147302668438E-4,1.12834372188E7
6,165,20.54,44,1.77,75,40.87,1.33,0.93,09:19:03,09:19:08,0.0,0.0,0.0
7,201,30.65,79,1.24,152,23.7,1.15,0.77,09:19:08,09:19:16,0.0,0.0,0.0
8,186,30.67,34,1.81,176,49.85,1.34,0.86,09:19:16,09:19:22,0.0,0.0,0.0
9,156,25.92,43,1.3,162,32.26,1.31,0.8,09:19:22,09:19:27,0.0,0.0,0.0
10,218,35.74,40,1.94,271,34.76,1.29,0.78,09:19:27,09:19:35,55374.5,0.00850545197112762,455550.0
11,154,38.63,53,1.72,266,32.82,1.31,0.8,09:19:35,09:19:43,57279.44616499997,0.008775065290140383,6884067.0935
12,32,35.09,65,1.22,125,41.89,1.05,0.83,09:19:43,09:19:52,-141075.95931399983,-0.031268510302373986,3.514874857139998E7
13,70,30.52,58,1.48,131,25.27,1.17,0.75,09:19:52,09:19:55,-49469.11470399983,-0.00896954481837886,6517973.0704000015
14,10,31.15,40,1.82,160,45.14,1.28,0.9,09:19:55,09:20:09,-205080.18505999987,-0.05591351317757498,1.0490469166000001E7
15,186,37.75,89,1.84,217,27.34,1.25,0.9,09:20:09,09:20:16,-94341.15999999995,-0.01870111278643516,2585422.0
16,96,23.07,63,1.24,66,45.51,1.06,0.78,09:20:16,09:20:19,-25458.900000000023,-0.004424258910436851,172890.0
17,56,22.78,45,1.67,238,39.94,1.26,0.79,09:20:19,09:20:22,-73548.30000000005,-0.013964124226208852,523830.0
18,18,28.35,75,1.24,53,47.35,1.32,0.77,09:20:22,09:20:28,15156.469446999952,0.0024673774400667536,1.01273979653E7
19,150,26.18,85,1.42,132,47.11,1.05,0.85,09:20:28,09:20:33,0.0,0.0,0.0
20,25,29.22,41,1.38,66,21.03,1.23,0.82,09:20:33,09:20:39,354373.2099860002,0.03976504418354576,3.1847350371400002E7
21,158,36.32,56,1.97,119,25.04,1.29,0.85,09:20:39,09:20:45,230224.61179999996,0.02888522664388793,3171010.8200000008
22,48,22.94,33,1.49,187,35.2,1.05,0.94,09:20:45,09:20:48,-71859.42189000003,-0.013597727450416874,4354192.289000001
23,97,21.41,84,1.58,226,39.12,1.31,0.75,09:20:48,09:20:51,0.0,0.0,0.0
24,237,32.48,71,1.83,136,41.02,1.16,0.81,09:20:51,09:21:00,0.0,0.0,0.0
25,217,39.09,40,1.93,108,38.95,1.12,0.83,09:21:00,09:21:08,-74286.74852,-0.014125144651118138,2177152.852
26,160,36.17,68,1.5,219,43.86,1.25,0.86,09:21:08,09:21:15,16132.058799999999,0.0026223102177838076,2176166.12
27,190,34.57,34,1.72,60,47.4,1.3,0.91,09:21:15,09:21:21,61262.59999999998,0.009334428708540399,459740.0
28,228,25.6,87,1.94,120,33.94,1.07,0.9,09:21:21,09:21:29,0.0,0.0,0.0
29,111,39.37,34,1.4,222,47.96,1.23,0.91,09:21:29,09:55:04,-43947.35104000024,-0.007888689241337676,1.2912845494E7
30,107,38.61,38,1.31,193,23.83,1.13,0.87,09:55:04,09:55:21,35592.54371700017,0.005621505792642978,2.3015138678299997E7
31,139,32.68,65,1.66,76,45.16,1.12,0.82,09:55:21,10:37:05,17745.817500000005,0.0028775959768470027,1004593.25
32,142,39.48,58,1.75,214,38.92,1.12,0.81,10:37:05,10:37:13,-140435.29377400002,-0.03107362236580269,9032946.4374
33,242,23.48,33,1.25,288,24.45,1.33,0.88,10:37:13,10:38:47,0.0,0.0,0.0
34,35,38.89,56,1.27,96,29.18,1.06,0.84,10:38:47,10:38:59,-122142.2280200001,-0.025801223856886546,4.0864649121999994E7
35,153,30.63,51,1.34,80,32.24,1.17,0.94,10:38:59,10:39:04,75408.59999999998,0.01127471375127187,475140.0
36,118,39.55,52,1.74,120,42.34,1.22,0.81,10:39:04,10:39:11,-20270.122161999985,-0.0034917924211090856,9350881.376199996
37,198,24.32,46,1.88,41,43.49,1.27,0.85,10:39:11,10:39:18,0.0,0.0,0.0
38,225,37.7,82,1.74,231,40.03,1.23,0.76,10:39:18,10:39:27,-41674.80530000001,-0.007450270059674802,951061.53
39,146,29.47,60,1.53,291,49.18,1.19,0.84,10:39:27,10:39:32,73927.59999999998,0.011074863296048454,673240.0
40,81,21.46,70,1.65,240,34.51,1.33,0.83,10:39:32,10:39:34,0.0,0.0,0.0
41,209,34.2,34,1.65,98,41.68,1.26,0.92,10:39:35,10:39:42,24750.0,0.003971524730101539,225000.0
42,185,26.93,65,1.81,265,43.55,1.33,0.92,10:39:42,10:39:48,0.0,0.0,0.0
43,51,27.3,72,1.32,239,34.99,1.28,0.79,10:39:48,10:39:54,95427.37426000007,0.013905021147975871,8965865.534
44,137,27.98,85,1.98,186,33.33,1.28,0.75,10:39:54,10:39:58,64789.5,0.009824850038809396,464050.0
45,166,30.19,31,1.22,269,27.71,1.24,0.94,10:39:58,10:40:04,0.0,0.0,0.0
46,84,20.34,46,1.54,141,35.13,1.22,0.93,10:40:04,10:40:07,0.0,0.0,0.0
